,TyramineNMPC
0052.V2,0.603840427423734
0123.V2,137.789790765242
0139.V2,3.18637678174866
0160.V2,3.33866462377068
0168.V2,8.02861201099847
0183.V2,1.58698243537003
0184.V2,110.28705083941
0245.V2,22.827421615202
0254.V2,0.389796152737745
0273.V2,111.155696851912
0285.V2,0.684900617396238
0286.V2,2.23873686950594
0303.V2,395.814555818387
0313.V2,3.04374659703365
0316.V2,95.8529177325941
0323.V2,0.373220615002879
0334.V2,392.768285924842
0337.V2,0.771039454597599
0338.V2,15.8268419767624
0342.V2,23.9122567951478
0348.V2,164.673055641515
0370.V2,1.28890918101922
0374.V2,18.6495014566929
0378.V2,18.7298266983699
0381.V2,0.284094005662382
0390.V2,0.589005264441539
0398.V2,2.3048112180303
0406.V2,211.212799903093
0407.V2,0.576386379117366
0409.V2,101.538668152118
0412.V2,6.60038444697727
0417.V2,3.18898823419374
0422.V2,3.54254159231823
0427.V2,1.83166446802136
0436.V2,1.6329488993041
0440.V2,0.699602186398693
0441.V2,1.03581319218119
0443.V2,2.15740360470841
0451.V2,1.69795300065823
0452.V2,75.1406599864631
0455.V2,167.925242014141
0457.V2,59.238252664725
0460.V2,164.319675649939
0462.V2,63.8295521314951
0463.V2,1.90748037568585
0466.V2,0.308533016844763
0469.V2,162.055082892952
0475.V2,8.02783668078723
0477.V2,104.778397161269
0486.V2,27.0909417030009
0490.V2,19.2238870878211
0494.V2,1.75737883874581
0505.V2,103.334703614036
0508.V2,100.178896078754
0514.V2,1.41242636919344
0520.V2,99.87232437229
0522.V2,0.275001723859418
0523.V2,1.52559027749999
0524.V2,56.9690094370085
0527.V2,1.79762080990542
0528.V2,216.903781719726
0536.V2,16.1113645521398
0537.V2,0.300181070381427
0538.V2,0.369796462975728
0541.V2,0.319142666084872
0542.V2,0.891814509216374
0543.V2,154.868625216316
0549.V2,147.024053011291
0550.V2,5.41655655378122
0551.V2,2.00052795405304
0554.V2,4.0130419778593
0559.V2,121.279687560295
0560.V2,1.69974546619039
0565.V2,4.05195445084064
0566.V2,2.62601830438552
0578.V2,1.05570921182311
0580.V2,6.23778792476196
0605.V2,8.66082473333995
0607.V2,5.32775131204244
0614.V2,2.66286536211123
0620.V2,29.3861429547012
0622.V2,134.190906317165
0626.V2,29.8153250630858
0627.V2,0.995952522563925
0634.V2,29.2961255840455
0639.V2,4.48255613219317
0642.V2,4.25975540640263
0645.V2,38.4545060422038
0649.V2,105.296400249284
0650.V2,5.69205437635048
0663.V2,127.446782899318
0669.V2,3.3947445492073
0670.V2,10.3640954941316
0671.V2,115.042895481861
0682.V2,8.25317973639733
0699.V2,155.195576521858
0704.V2,113.342746102179
0709.V2,3.47963371403205
0711.V2,0
0718.V2,8.26745331308837
0750.V2,0.184646356860299
0756.V2,111.532574909941
0773.V2,59.5688192347466
0790.V2,141.192666004993
0792.V2,3.87550010541656
0801.V2,162.562478357571
0805.V2,9.44883135554801
0806.V2,3.13105325728839
0808.V2,123.81544753472
0809.V2,107.568119880028
0817.V2,1.08515498567044
0818.V2,122.475002568349
0828.V2,1.52915403172187
0845.V2,104.350791939184
0846.V2,162.217118050692
0848.V2,12.3381935908826
0849.V2,116.511693217689
0852.V2,29.7827771159832
0855.V2,0.612991324715722
0858.V2,208.50486556025
0862.V2,0.486544657440959
0864.V2,0.748915094590643
0867.V2,157.071968842786
0872.V2,2.60409248233839
0876.V2,106.428897370399
0890.V2,156.029321906897
0892.V2,8.9653789279879
0898.V2,105.035425411472
0899.V2,27.8322313940848
0900.V2,41.3000590833278
0901.V2,1.09304777402951
0928.V2,0.747272409549169
0934.V2,51.3350422228962
0945.V2,107.714347541873
0960.V2,185.751972857469
0961.V2,0
0962.V2,112.097291562339
0963.V2,79.7232580253706
0969.V2,265.434089472062
0980.V2,3.9643640831581
0982.V2,2.91887230008467
0990.V2,99.9708772106628
1000.V2,0.567200290385358
1001.V2,114.807851195982
1004.V2,92.9559870406688
1007.V2,167.103210121245
1008.V2,0.527616782244422
1009.V2,16.5255163086568
1010.V2,122.795057070828
1013.V2,4.9919967693254
1019.V2,1.1335459912342
1020.V2,6.35856544041701
1023.V2,1.12863895061832
1026.V2,50.7978925235834
1027.V2,166.679710235212
1031.V2,78.5647998599409
1033.V2,107.780657965993
1042.V2,0.406612068402978
1045.V2,1.60120745485699
1049.V2,3.31406886650086
1052.V2,68.5439136568771
1053.V2,0.437322885205617
1056.V2,30.889221897246
1058.V2,220.34767614872
1062.V2,0.273654551648406
1065.V2,116.421836765706
1068.V2,1.68034651223775
1073.V2,145.835508543689
1085.V2,0.669221342753644
1086.V2,110.330659323753
1087.V2,40.0018281682762
1089.V2,214.554393814609
1116.V2,73.4068493049565
1122.V2,0.236288078093025
1126.V2,0
1149.V2,16.05383656969
1159.V2,0
1167.V2,61.7334124056435
1210.V2,132.555131526625
1215.V2,77.3494498049515
1229.V2,0.384128928894029
1243.V2,69.7911279746609
1269.V2,3.45162330040148
1286.V2,8.73200187987686
1319.V2,153.721037071037
1327.V2,159.075292423796
1342.V2,6.25376430213612
1361.V2,0.525634355883426
1362.V2,0.704492810003444
1366.V2,117.926415748209
1374.V2,166.557186377929
1386.V2,151.396538223647
1399.V2,172.701995300344
1401.V2,65.9096895556881
1413.V2,86.2565576126237
1416.V2,141.468952810613
1419.V2,31.6662677776696
1425.V2,154.098491918193
1427.V2,13.2525900015795
1429.V2,0.692065303721506
1430.V2,138.603101164946
1431.V2,39.1374708221208
1435.V2,0.973305235122893
1441.V2,9.41984373983735
1468.V2,1.03136966926456
